"﻿""Key""","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N52HER9U","conferencePaper","2023","Deng, H.; Zhang, L.; Li, H.; Wang, W.; Li, Z.","Power Terminal Detection System Based on Graph Neural Network","Adv. Transdiscipl. Eng.","2352751X (ISSN); 9781643684581 (ISBN)","","10.3233/ATDE231049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181048221&doi=10.3233%2fATDE231049&partnerID=40&md5=08d43cce570069616731faf622dda9fa","2023","2026-03-20 01:23:07","2026-03-20 01:23:07","2023-08-12","1079-1088","","","42","","","","","","","","IOS Press BV","","English","","","Scopus","","","","","#done; #grid-analysis","","Chen C.-H.; Scapellato A.; Barbiero A.; Korzun D.G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3rd International Conference on Applied Mathematics, Modeling and Computer Simulation, AMMCS 2023","","","","","","","","","","","","","","",""
"IL8EFGKB","book","2021","Deng, Y.; Zhou, Y.; Zhang, Z.","Short-Long Correlation Based Graph Neural Networks for Residential Load Forecasting","","03029743 (ISSN); 9783030922696 (ISBN)","","10.1007/978-3-030-92270-2_37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121908458&doi=10.1007%2f978-3-030-92270-2_37&partnerID=40&md5=568561ea43400ddb2005b6ccf8f43e49","2021","2026-03-20 01:23:07","2026-03-20 01:23:07","2021-12-08","","428","","13109 LNCS","","","","28th International Conference on Neural Information Processing, ICONIP 2021","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","","#done; #forecasting","","","Mantoro T.; Lee M.; Ayu M.A.; Wong K.W.; Hidayanto A.N.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBCU6LL6","preprint","2023","Dezvarei, Mojtaba; Tomsovic, Kevin; Sun, Jinyuan Stella; Djouadi, Seddik M.","Graph Neural Network Framework for Security Assessment Informed by Topological Measures","","","","10.48550/arXiv.2301.12988","http://arxiv.org/abs/2301.12988","2023-01-30","2026-03-20 01:23:07","2026-03-20 01:23:07","2024-05-08 14:32:25","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","arXiv:2301.12988","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRS8Q96F","preprint","2025","Dezvarei, Mojtaba; Tomsovic, Kevin; Sun, Jinyuan Stella; Djouadi, Seddik M.","A Graph Neural Network Framework for Security Assessment Using Topological Measures","","","","10.2139/ssrn.5216928","https://papers.ssrn.com/abstract=5216928","2025-04-14","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-19 19:59:57","","","","","","","","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","5216928","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INBZATMG","journalArticle","2025","Dhulipala, S.L.N.; Casaprima, N.; Olivier, A.; Vaagensmith, B.C.; McJunkin, T.R.; Hruska, R.C.","Harnessing distributed GPU computing for generalizable graph convolutional networks in power grid reliability assessments","Energy and AI","","26665468 (ISSN)","10.1016/j.egyai.2025.100471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215407342&doi=10.1016%2Fj.egyai.2025.100471&partnerID=40&md5=03adf3d7e03e940eaa03bd51a60510cb","2025","2026-03-20 01:23:07","2026-03-20 01:23:07","2026-03-20 00:40:57","100471","","","19","","Energy. AI.","","","","","","Elsevier B.V.","","English","","","Scopus","","DOI.org (Crossref)","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEU6KT59","conferencePaper","2024","Di, L.; Zhang, W.; Zhao, J.; Miao, L.; He, X.","A Novel Distribution Network Topology Identification Method Based on Graph Convolutional Network","IEEE Int. Power Electron. Motion Control Conf., IPEMC ECCE Asia","9798350351330 (ISBN)","","10.1109/IPEMC-ECCEAsia60879.2024.10567368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199023249&doi=10.1109%2FIPEMC-ECCEAsia60879.2024.10567368&partnerID=40&md5=27ceeec6afc44daae3ba0f9ab5cd2110","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","3893-3896","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUSF7W39","journalArticle","2024","Di, Y.; Wang, F.; Zhao, Z.; Zhai, Z.; Chen, X.","An interpretable graph neural network for real-world satellite power system anomaly detection based on graph filtering","Expert Systems with Applications","","","10.1016/j.eswa.2024.124348","","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","","254","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWQCJ2N6","journalArticle","2019","Dinesh, Chinthaka; Makonin, Stephen; Bajic, Ivan V.","Residential Power Forecasting Using Load Identification and Graph Spectral Clustering","IEEE Transactions on Circuits and Systems II: Express Briefs","","1549-7747, 1558-3791","10.1109/TCSII.2019.2891704","https://ieeexplore.ieee.org/document/8606124/","2019-11","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-05-15 04:39:50","1900-1904","","11","66","","IEEE Trans. Circuits Syst. II","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVKM8JMU","conferencePaper","2024","Ding, Lijie; Shi, Huabo; Wang, Yongcan; Wang, Xi; Liu, Tingjian; Duan, Longxiang","Controlled Islanding of Power Systems Based on Structural Deep Clustering Network","2024 9th Asia Conference on Power and Electrical Engineering (ACPEE)","","","10.1109/ACPEE60788.2024.10532619","https://ieeexplore.ieee.org/document/10532619/?arnumber=10532619","2024-04","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-07-17 23:41:13","1346-1352","","","","","","","","","","","","","","","","","","IEEE Xplore","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 9th Asia Conference on Power and Electrical Engineering (ACPEE)","","","","","","","","","","","","","","",""
"P89FD8TN","conferencePaper","2025","Dong, J.; Han, X.; Zhang, Z.","Short-term Multi Load Forecasting of Integrated Energy System Based on AGCRN","IEEE Int. Conf. Electron. Technol., Commun. Inf., ICETCI","9798331533724 (ISBN)","","10.1109/ICETCI64844.2025.11084024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013070974&doi=10.1109%2FICETCI64844.2025.11084024&partnerID=40&md5=999afcb1d46038b9b469d8f28927e239","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","394-398","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCFIII6M","journalArticle","2025","Dong, X.; Du, W.; Fu, Q.; Wang, H.","Domain-adversarial graph neural network for small-signal stability constrained optimal power flow in AC/DC renewable power systems","Electric Power Systems Research","","03787796 (ISSN)","10.1016/j.epsr.2025.111775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003817176&doi=10.1016%2Fj.epsr.2025.111775&partnerID=40&md5=84df558e19437a1f3ea3621e6f637043","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","","247","","Electr Power Syst Res","","","","","","Elsevier Ltd","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K588PMSL","journalArticle","2020","Donon, Balthazar; Clément, Rémy; Donnot, Benjamin; Marot, Antoine; Guyon, Isabelle; Schoenauer, Marc","Neural networks for power flow: Graph neural solver","Electric Power Systems Research","","03787796","10.1016/j.epsr.2020.106547","https://linkinghub.elsevier.com/retrieve/pii/S0378779620303515","2020-12","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-04-18 13:39:22","106547","","","189","","Electric Power Systems Research","Neural networks for power flow","","","","","Elsevier Ltd","","en","","","Scopus","","DOI.org (Crossref)","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEMFQVP3","conferencePaper","2024","Donon, Balthazar; Cubelier, François; Karangelos, Efthymios; Wehenkel, Louis; Crochepierre, Laure; Pache, Camille; Saludjian, Lucas; Panciatici, Patrick","Topology-Aware Reinforcement Learning for Tertiary Voltage Control","","","","","https://orbi.uliege.be/handle/2268/315490","2024-06-04","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-07-17 23:47:19","","","","","","","","","","","","","","Anglais","","","","","orbi.uliege.be","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Power Systems Computation Conference","","","","","","","","","","","","","","",""
"NM9LNQGX","conferencePaper","2019","Donon, Balthazar; Donnot, Benjamin; Guyon, Isabelle; Marot, Antoine","Graph Neural Solver for Power Systems","2019 International Joint Conference on Neural Networks (IJCNN)","978-172811985-4 (ISBN)","2161-4407","10.1109/IJCNN.2019.8851855","https://ieeexplore.ieee.org/abstract/document/8851855","2019-07","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-04-18 12:59:49","1-8","","","2019-July","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","IEEE Xplore","","","#done; #grid-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Joint Conference on Neural Networks (IJCNN)","","","","","","","","","","","","","","",""
"PIT6XFNU","conferencePaper","2025","Doostinia, M.; Zare, S.; Zahan, Z.G.; Falabretti, D.; Bolouki, S.; Verticale, G.","Graph Neural Network-Based Critical Node Classification in Cyber-Physical Power Systems","Conf. Proc. - IEEE Int. Conf. Environ. Electr. Eng. IEEE Ind. Commer. Power Syst. Europe, EEEIC / I CPS Europe","9798331595159 (ISBN)","","10.1109/EEEIC/ICPSEurope64998.2025.11168990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019047612&doi=10.1109%2FEEEIC%2FICPSEurope64998.2025.11168990&partnerID=40&md5=ccaeecd8b262136f3cf1584438847cc8","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#cybersecurity; #done","","Leonowicz, Z.; Stracqualursi, E.; Jasinski, M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJSDQGXH","conferencePaper","2025","Du, M.; Fang, S.; Niu, T.; Chen, G.","Intelligent Restoration of Power Distribution Networks with Reinforcement-Enhanced Multi-Objective Evolution","Int. Conf. Power Syst. Electr. Technol., PSET","979-833153728-9 (ISBN)","","10.1109/PSET66242.2025.11296467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031895334&doi=10.1109%2FPSET66242.2025.11296467&partnerID=40&md5=e34a69d26648f7ef58ac62980000051b","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","640-645","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 4th International Conference on Power Systems and Electrical Technology, PSET 2025","","","","","","","","","","","","","","",""
"CUBBRXNH","conferencePaper","2024","Du, S.; Wan, J.; Liu, Y.; Qi, X.; Meng, F.; Shao, P.; Liu, J.; Ding, T.","Learning-Integrated Unit Commitment Optimization Based on GCN-GRU and Load Scenario Clustering","Int. Conf. Energy, Power Grid, ICEPG","9798350377798 (ISBN)","","10.1109/ICEPG63230.2024.10775416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215119248&doi=10.1109%2FICEPG63230.2024.10775416&partnerID=40&md5=db1ae76813dbc3c31433c4535533ec56","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","1056-1060","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWF34SY9","conferencePaper","2022","Eandi, S.; Cini, A.; Lukovic, S.; Alippi, C.","Spatio-Temporal Graph Neural Networks for Aggregate Load Forecasting","Proc Int Jt Conf Neural Networks","9781728186719 (ISBN)","","10.1109/IJCNN55064.2022.9892780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140764053&doi=10.1109%2fIJCNN55064.2022.9892780&partnerID=40&md5=1d8e74890ade72ed065955dd0764da63","2022","2026-03-20 01:23:18","2026-03-20 01:23:18","2022-07-18","","","","2022-July","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Joint Conference on Neural Networks, IJCNN 2022","","","","","","","","","","","","","","",""
"YE2B6ZT8","conferencePaper","2024","Eddin, M.E.; Massaoudi, M.; Abu-Rub, H.; Shadmand, M.; Abdallah, M.","Graph Neural Network-Based Node Clustering for Dual-Focused Power Network Partitioning","","","","10.1109/IECON55916.2024.10905473","","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","","","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IECON Proceedings (Industrial Electronics Conference)","","","","","","","","","","","","","","",""
"M8VQX7F5","conferencePaper","2024","Eeckhout, V.; Fani, H.; Hashmi, M.U.; Deconinck, G.","Improved Physics-Informed Neural Network based AC Power Flow for Distribution Networks","IEEE PES Innov. Smart Grid Technol. Europe, ISGT EUROPE","978-953184297-6 (ISBN)","","10.1109/ISGTEUROPE62998.2024.10863674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000010227&doi=10.1109%2FISGTEUROPE62998.2024.10863674&partnerID=40&md5=9890e0c8809bec869ec1d533e335f6eb","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","Scopus","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE PES Innovative Smart Grid Technologies Europe, ISGT EUROPE 2024","","","","","","","","","","","","","","",""
"D8T9YMG2","journalArticle","2025","Elnour, M.; Atat, R.; Takiddin, A.; Ismail, M.; Serpedin, E.","Eigenvector centrality-enhanced graph network for attack detection in power distribution systems","Electric Power Systems Research","","03787796 (ISSN)","10.1016/j.epsr.2024.111339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212551990&doi=10.1016%2Fj.epsr.2024.111339&partnerID=40&md5=898c57b6f26be790c4efe550efd457f2","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","2026-03-20 00:41:11","111339","","","241","","Electr Power Syst Res","","","","","","Elsevier Ltd","","English","","","Scopus","","DOI.org (Crossref)","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J35ISZV6","conferencePaper","2025","Eshun, C.K.; Bahrami, S.; Fattahi, J.","Robust Local Contingency Planning in Power Grids Using Spatio-Temporal Graph Neural Networks","IEEE Electr. Power Energy Conf., EPEC - Conf. Proc.","979-833151398-6 (ISBN)","","10.1109/EPEC65543.2025.11230436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029560962&doi=10.1109%2FEPEC65543.2025.11230436&partnerID=40&md5=664303960ccb936d3816fdfbca5770c6","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","152-156","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE Electrical Power and Energy Conference, EPEC 2025 - Conference Proceedings","","","","","","","","","","","","","","",""
"RPH7DPP8","preprint","2025","Eze, Chijioke; Prakash, Chetan; Monti, Antonello","Graph Neural Network-Based Multi-Agent Reinforcement Learning for Active Voltage Control: Performance and Topology Robustness","","","","10.2139/ssrn.5960743","https://papers.ssrn.com/abstract=5960743","2025-12-24","2026-03-20 01:23:18","2026-03-20 01:23:18","2026-03-19 19:52:10","","","","","","","Graph Neural Network-Based Multi-Agent Reinforcement Learning for Active Voltage Control","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","5960743","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2GX43NP","journalArticle","2024","Fahim, S.R.; Atat, R.; Kececi, C.; Takiddin, A.; Ismail, M.; Davis, K.R.; Serpedin, E.","Graph Autoencoder-Based Power Attacks Detection for Resilient Electrified Transportation Systems","IEEE Transactions on Transportation Electrification","","23327782 (ISSN)","10.1109/TTE.2024.3355094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182917939&doi=10.1109%2fTTE.2024.3355094&partnerID=40&md5=a6373c25694c526a100d8039da68668d","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","1-1","","4","10","","IEEE Trans. Transp. Electrif.","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7EN7MGJ","journalArticle","2025","Fahim, S.R.; Atat, R.; Keçeci, C.; Takiddin, A.; Ismail, M.; Davis, K.R.; Serpedin, E.","Dynamic Spatio-Temporal Planning Strategy of EV Charging Stations and DGs Using GCNN-Based Predicted Power Demand","IEEE Transactions on Intelligent Transportation Systems","","15580016 (ISSN); 15249050 (ISSN)","10.1109/TITS.2025.3541190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001676572&doi=10.1109%2FTITS.2025.3541190&partnerID=40&md5=178c29cb2e73a248948aabd9f2dbd49f","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","4528-4542","","4","26","","IEEE Trans. Intell. Transp. Syst.","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GG2BKC5Y","journalArticle","2025","Fahim, S.R.; Atat, R.; Keçeci, C.; Takiddin, A.; Ismail, M.; Davis, K.R.; Serpedin, E.","Graph Neural Network-Based Approach for Detecting False Data Injection Attacks on Voltage Stability","IEEE Open Access Journal of Power and Energy","","26877910 (ISSN)","10.1109/OAJPE.2024.3524268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214789912&doi=10.1109%2FOAJPE.2024.3524268&partnerID=40&md5=8de1cd0bd29d82bdeb571cafcf064f3a","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","12-23","","","12","","IEEE Open Access J. Power Energy","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZQPKYTC","conferencePaper","2024","Fahim, Shahriar Rahman; Atat, Rachad; Kececi, Cihat; Takiddin, Abdulrahman; Ismail, Muhammad; Davis, Katherine R.; Serpedin, Erchin","Generalized FDIA Detection in Power Dependent Electrified Transportation Systems","2024 32nd European Signal Processing Conference (EUSIPCO)","","2076-1465","10.23919/EUSIPCO63174.2024.10715443","https://ieeexplore.ieee.org/document/10715443/?arnumber=10715443","2024-08","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-12-13 17:29:09","1851-1855","","","","","","","","","","","","","","","","","","IEEE Xplore","","","#cybersecurity; #done","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 32nd European Signal Processing Conference (EUSIPCO)","","","","","","","","","","","","","","",""
"C8F4XUUM","journalArticle","2023","Falconer, Thomas; Mones, Letif","Leveraging Power Grid Topology in Machine Learning Assisted Optimal Power Flow","IEEE Transactions on Power Systems","","0885-8950, 1558-0679","10.1109/TPWRS.2022.3187218","https://ieeexplore.ieee.org/document/9810496/","2023-05","2026-03-20 01:23:18","2026-03-20 01:23:18","2024-04-25 10:31:01","2234-2246","","3","38","","IEEE Trans. Power Syst.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39ABZ46G","journalArticle","2025","Fan, C.; Chen, G.; Shi, P.; Liu, S.; Bai, J.; Chen, B.; Wang, W.; Li, Y.; Guo, Z.; Shi, Y.","Hybrid N-BEATS-Based Method for Equipment Assessment and System Risk Prediction in Urban Power Grids","Electronics (Switzerland)","","20799292 (ISSN)","10.3390/electronics14244887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025799870&doi=10.3390%2Felectronics14244887&partnerID=40&md5=4de56d50e5b5578242b699a5d42b380f","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","24","14","","Electronics (Switzerland)","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PXFI8YE","journalArticle","2020","Fan, H.; Zhang, X.; Mei, S.; Chen, K.; Chen, X.","M2gsnet: Multi-modal multi-task graph spatiotemporal network for ultra-short-term wind farm cluster power prediction","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app10217915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096110480&doi=10.3390%2fapp10217915&partnerID=40&md5=d380a25cd6c54f0e03460e05336fb45f","2020","2026-03-20 01:23:18","2026-03-20 01:23:18","","1-15","","21","10","","Appl. Sci.","","","","","","MDPI AG","","English","","","Scopus","","","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDN9NHDV","conferencePaper","2022","Fang, M.; Jiang, Y.; Li, L.; Liu, Y.; Zhang, Y.; Lv, F.; Liu, Z.","Research on Transformer Fault Prediction Based on Graph Neural Network","J. Phys. Conf. Ser.","17426588 (ISSN)","","10.1088/1742-6596/2281/1/012020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133471424&doi=10.1088%2f1742-6596%2f2281%2f1%2f012020&partnerID=40&md5=4a73c64b16d19f6826e79d6ee3adb78d","2022","2026-03-20 01:23:18","2026-03-20 01:23:18","2022-04-23","","","1","2281","","","","","","","","Institute of Physics","","English","","","Scopus","","","","","#done; #faults-reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 6th International Conference on Artificial Intelligence, Automation and Control Technologies, AIACT 2022","","","","","","","","","","","","","","",""
"HW5FLEXS","conferencePaper","2024","Feng, B.; Li, X.; Hou, Z.; Mao, J.; Liu, W.","Short-term Charging Quantity Prediction of Charging Stations Based on Graph Neural Networks","","","","10.1109/ACFPE63443.2024.10800928","","2024","2026-03-20 01:23:18","2026-03-20 01:23:18","","77-82","","","","","","","","","","","","","","","","Scopus","","Scopus","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - 2024 3rd Asian Conference on Frontiers of Power and Energy, ACFPE 2024","","","","","","","","","","","","","","",""
"3666INW5","journalArticle","2025","Feng, H.; Wang, Y.; Wang, Q.","Energy efficiency management and optimization strategies for power grid enterprises based on deep learning","Journal of Renewable and Sustainable Energy","","19417012 (ISSN)","10.1063/5.0251054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020675940&doi=10.1063%2F5.0251054&partnerID=40&md5=b670ab096bdb974d0287e7ee8c9bb03e","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","","","6","17","","J. Renewable Sustainable Energy","","","","","","American Institute of Physics","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZ3G28RC","conferencePaper","2025","Feng, T.; Chen, Y.; Liu, X.; Chen, T.; Gao, M.; Yu, J.","Power System Operation Mode Adjustment based on GNN Broadcasting and Gradient Descent","Int. Conf. Clean Energy Electr. Power Eng., ICCEPE","9798331503840 (ISBN)","","10.1109/ICCEPE66357.2025.11193341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020950336&doi=10.1109%2FICCEPE66357.2025.11193341&partnerID=40&md5=a82f8dc078cec518163099fa91649aeb","2025","2026-03-20 01:23:18","2026-03-20 01:23:18","","257-261","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","#done; #optimization-control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 6th International Conference on Clean Energy and Electric Power Engineering, ICCEPE 2025","","","","","","","","","","","","","","",""
"UWLPTYGW","journalArticle","2025","Feng, Wenshan; Long, Zhuo; Wu, Gongping; Xie, Liwei; Xie, Jinping; Huang, Fengqin","Grid Load Forecasting Based On Spatio-temporal Graphical Information","Journal of Physics: Conference Series","","1742-6588, 1742-6596","10.1088/1742-6596/3012/1/012023","https://iopscience.iop.org/article/10.1088/1742-6596/3012/1/012023","2025-06-01","2026-03-20 01:23:18","2026-03-20 01:23:18","2025-11-17 23:21:10","012023","","1","3012","","J. Phys.: Conf. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","#done; #forecasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
